# Id	FilePath			R	G	B
[TEXTURES]
0	Resource/bbox.png	255	255	0
1	Resource/item.png	255	255	255
2	Resource/player_jason_bullet.png	199 	200 	50
3	Resource/softbrick.png	255	0	255
10	Resource/sophia_die.png	176	0	248
21	Resource/sophia.png	255	0	255
30	Resource/jason.png	255	0	255
40	Resource/Enemy/enemies.jpg	237	28	36
50	Resource/HealthBar.png	255	255	255
60	Resource/item2.png	255	255	0
11	Resource/SceneAndSpec/Scene/area_1.jpg	255	0	255
12	Resource/SceneAndSpec/Scene/area_2.jpg	255	0	255
13	Resource/SceneAndSpec/Scene/area_3.jpg	255	0	255
14	Resource/SceneAndSpec/Scene/area_4.jpg	255	0	255
15	Resource/SceneAndSpec/Scene/area_5.jpg	255	0	255
16	Resource/SceneAndSpec/Scene/area_6.jpg	255	0	255
17	Resource/SceneAndSpec/Scene/area_7.jpg	255	0	255
18	Resource/SceneAndSpec/Scene/area_8.jpg	255	0	255
19	Resource/SceneAndSpec/Scene/area_9.jpg	255	0	255
20	Resource/SceneAndSpec/Scene/overworld.png	255	0	255
41	Resource/select_continue.png	255	0	255
100	Resource/boss - Copy.png	255	255	255
101	Resource/bossarm.png	255	255	255
105	Resource/explosionsmall.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#select_continue
310008	52	61	58	85	2
#Blow up
300101	169	88	188	107	1
300102	190	88	209	107	1
300103	211	88	230	107	1
#rocket
320001	114	3	128	9	2
320002	94	3	108	9	2
#electric
320003	96	17	111	80	2
#===========HEALTH_BAR====================#
#thanh gun
50001	133	218	141	249	1
#cuc mau trang
50002	134	252	140	255	1
#thanh mau
50003	154	218	162	249	1
#chu POW
50004	175	216	184	232	1
#chu HOV
50005	112	237	121	253	1
#chu GUN
50006	154	195	163	212	1
##=============ITEMS==========
#POWERUP
60001	87	237	103	253	1
#HOVER
60002	66	237	82	253	1
#Electric bullet item
60003	45	237	61	253	1
#Rocket item
60004	24	237	40	253	1
#HomingMissle item
60005	3	237	19	253	1
#Gun Up
60006	108	217	123	233	1
#Gun Up màu
60007	45	257	60	273	1
60008	66	257	81	273	1
#Power Up màu
60009	3	257	19	273	1
60010	24	257	40	253	1
#hyber beam
60011	3	217	19	233	1
#crusher beam
60012	24	217	40	233	1

#===========ENEMIES====================#
#Worm
#Walk
1000	168	411	186	421	40
1001	187	411	204	421	40

#Mines
2000	37	555	52	564	40
2001	64	555	79	564	40

#DOMES
#walk top right
1100	145	478	163	495	40
1101	165	478	183	495	40
#walk top left
1102	63	478	81	494	40
1103	83	478	101	495	40
#walk right top
1104	47	440	63	458	40
1105	46	460	63	478	40
#walk right bottom
1106	128	440	145	458	40
1107	129	460	145	478	40
#Attack Left Right
1108	128	440	145	458	40
#Attack Top Bottom
1109	145	478	163	495	40

#ORBS
#FLY
1400	154	386	172	404	40
#FLIP
1401	134	386	152	404	40
1402	114	386	132	404	40

#JUMPERS
#WALK
1500	166	499	183	525	40
1501	148	499	165	525	40
1502	128	499	145	525	40

#SKULLS
#FLY
1600	190	529	208	550	40
#ATTACK
1601	170	526	188	547	40

#FLOATER
#FLY
1200	148	406	166	421	40
#FLIP
1201	128	405	146	421	40

#INSECT
#FLY
1300	128	529	146	547	40
1301	148	532	166	547	40

#ENEMY DIE
90000	169	88	188	107	1
90001	190	88	209	107	1
90002	211	88	230	107	1

# ===============BULLET ENEMIES===============#
#Big Navigated Enemy Bullet
400001	358	110	365	117	60
#small Navigated Enemy Bullet
400002	359	161	364	166	60
#skull bullet
400003	257	9	267	19	60

# ===============SOFT BRICK===============#
#default
700001	10	4	25	21	3
#explosion
700002	177	118	200	141	1
700003	211	88	230	107	1
700004	190	88	209	107	1
700005	169	88	188	107	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#select_continue
60104	60004	100
##JASON=========================
#idle right
400	10001	100
#idle left
401	11001	100
#walk right
500	10001	30	10002	30	10003	30	10004	30	10005	30	10006	30	10007	30	10008	30	10009	30	10010	30	10011	30	10012	30
#walk left
501	11001	30	11002	30	11003	30	11004	30	11005	30	11006	30	11007	30	11008	30	11009	30	11010	30	11011	30	11012	30
##JUMP
# idle jump up idle right 1
410	10101	100
# idle jump up idle right 2
411	10102	100
# idle jump up idle right 3
412	10103	100
# idle jump up idle right 4
413	10104	100
# idle jump up idle left 1
414	11101	100
# idle jump up idle left 2
415	11102	100
# idle jump up idle left 3
416	11103	100
# idle jump up idle left 4
417	11104	100
# idle jump down idle right 1
420	10201	100
# idle jump down idle right 2
421	10202	100
# idle jump down idle right 3
422	10203	100
# idle jump down idle right 4
423	10204	100
# idle jump down idle left 1
424	11201	100
# idle jump down idle left 2
425	11202	100
# idle jump down idle left 3
426	11203	100
# idle jump down idle left 4
427	11204	100
# idle jump up walking right
510	10101	30	10102	30	10103	30	10104	30
# idle jump up walking left
511	11101	30	11102	30	11103	30	11104	30
# idle jump down walking right
520	10201	30	10202	30	10203	30	10204	30
# idle jump down walking left
521	11201	30	11202	30	11203	30	11204	30
###GUNFLIP
#gun flip right
430	10301	40	10302	40	10303	40	10304	40	10305	40	10306	40	10307	40	10308	40
#gun flip left
431	11301	40	11302	40	11303	40	11304	40	11305	40	11306	40	11307	40	11308	40
##GUN FLIP IDLE
#idle gun flip idle right 1
461	10301	120	10305	999999999
#idle gun flip  idle right 2
462	10302	120	10306	999999999
#idle gun flip idle  right 3
463	10303	120	10307	999999999
#idle gun flip idle  right 4
464	10304	120	10308	999999999
#idle gun flip idle  left 1
465	11301	120	11305	999999999
#idle gun flip idle  left 2
466	11302	120	11306	999999999
#idle gun flip idle  left 3
467	11303	120	11307	999999999
#idle gun flip idle  left 4
468	11304	120	11308	999999999
#get out
470	11400	600	11400	100
#die
599	11998	100	11999	100	11999	100
###============Bullet=====================#
30001	300001	100
30002	300002	100
30003	300003	100
30004	300004	100
30005	310001	100	310002	100	310003	100	310004	100
30006	310005	100	310006	100	310007	100	310008	100
30007	300101	100	300102	100	300103	100
#rocket
30008	320001	50	320002	50
#electric
30009	320003	100
#small sophia
34001	340001	100
###============HealthBar==================#
#Gun null
800	50001	100
#Gun add
801	50002	100
#Player null
802	50003	100
#Player add
803	50004	100
804	50005	100
805	50006	100
#==============Item=======================#
#Power
60000	60001	100
60001	60002	100
60002	60003	100
60003	60004	100
60004	60005	100
60005	60006	100
60006	60006	50	60007	50	60008	50
60007	60001	50	60009	50	60010	50
60008	60011	100
60009	60012	100
###============SMALL SOPHIA===============#
#idle right
600	12000	100
#walk right
601	12001	200	12002	200	12003	200
#crawl
602	12004	200	12005	200
#die
603	12006	70	12007	70	12008	70	12009	70	12006	70	12007	70	12008	70	12009	70	12006	70	12007	70	12008	70	12009	70	12006	300	12010	300
#jump right
604	12003	100
#climb
605	12011	100	12012	100
606	12011	100

###============ENEMIES==================#
#Walk worm
1000	1000	100	1001	100

#IDLE MINES
2000	2000	300	2001	300

#DOMES
#walk top right
1100	1100	100	1101	100
#walk top left
1101	1102	100	1103	100
#walk right top
1102	1104	100	1105	100
#walk right bottom
1103	1106	100	1107	100
#Attack Left Right
1104	1108	100
#Attack Top Bottom
1105	1109	100

#ORBS
#FLY
1400	1400	100
#FLIP
1401	1401	100	1402	100	1400	100

#JUMPERS
#WALK
1500	1500	100	1501	100	1502	100

#SKULLS
#FLY
1600	1600	100
#ATTACK
1601	1601	100

#FLOATER
#FLY
1200	1200	100
#ATTACK
1201	1202	100	1201	100

#INSECT
#Fly
1300	1300	80	1301	80

#ENEMY DIE
9000	90000	100	90001	100	90002	100	90002	100

# ===============SOFT BRICK===============#
#default
70001	700001	100
#explosion
70002	700002	50	700003	50	700002	100	700003	80	700004	80	700005	80

# =============== BULLET ENEMIES===============#
40001	400001	100
40002	400002	100
40003	400003	100

# id tuan theo define
[ANIMATION_SETS]
#select_continue
61004	60104
# JASON
1	400	401	500	501	410	411	412	413	414	415	416	417	420	421	422	423	424	425	426	427	510	511	520	521	430	431	461	462	463	464	465	466	467	468	599	470
# SMALL SOPHIA
2	600	601	602	603	604	605	606
#====Jason Bullet========#
31	30001	30002	30003	30004	30005	30006	30007
#rocket
32	30008
#electric
33	30009
#small sophia bullet
34	34001	30007
#=== HEALTH BAR ===
30	800	801	802	803	804	805
#=======ITEM==========#
50	60000	60001	60002	60003	60004	60005	60006	60007	60008	60009


#============ENEMIES==================#

# Worm
10	1000	9000

#DOMES
11	1100	1101	1102	1103	1104	1105	9000

#FLOATER
12	1200	1201	9000

#INSECT
13	1300	9000

#ORBS
14	1400	1401	9000

#JUMPERS
15	1500	9000

#SKULLS
16	1600	1601	9000

#MINES 
20	2000	9000

#============BULLET ENEMIES==================#
41	40001	30007
42	40002	30007
43	40003	30007


#============SOFT BRICK==================#
7	70001	70002

[SCENE]
#Stage1
11	Resource/SceneAndSpec/scene1.txt	1024	275	0	1
#Stage2
12	Resource/SceneAndSpec/scene2.txt	527	1315	1	1
#Stage3
13	Resource/SceneAndSpec/scene3.txt	545	277	1	1
#Stage4
14	Resource/SceneAndSpec/scene4.txt	520	1028	1	0
#Stage5
15	Resource/SceneAndSpec/scene5.txt	516	1800	1	1
#Stage6
16	Resource/SceneAndSpec/scene6.txt	510	275	1	1
#Stage7
17	Resource/SceneAndSpec/scene7.txt	512	543	1	0
#Stage8
18	Resource/SceneAndSpec/scene8.txt	518	275	0	1
#Stage9
19	Resource/SceneAndSpec/scene9.txt	320	275	0	1
#Stage10
20	Resource/SceneAndSpec/overworld.txt	2048	2048	0	0
