#walk right
#jump
12001	149	0	159	17	21
12002	175	0	185	17	21
12003	162	0	172	17	21

#crawl
12004	202	7	218	17	21
12005	218	7	234	17	21
#die
12006	136	20	150	36	21
12007	190	22	206	36	21
12008	172	20	186	36	21
12009	153	22	169	36	21
12010	208	22	224	36	21

#======Bullet Small Sophia========#
340001	134	180	139	185	1
#bullet explode
340002	154	177	162	186	1
340003	170	174	187	189	1
340004	191	173	208	190	1

#===========Bullet_Jason==================#
#Bullet level 1 JASON right, top lv1
#file bullet (discard)
#300001	35	47	59	54	1
#300002	4	61	10	86	1
300001	240	68	247	73	1
300002	241	89	246	96	1
#Bullet level 1 JASON right, top lv2
#right
310001	35	37	59	43	2
310002	35	26	59	32	2
310003	35	14	59	20	2
310004	35	2	59	8	2
#top
310005	16	61	22	85	2
310006	28	61	34	85	2
310007	40	61	46	85	2
310008	52	61	58	85	2
#Blow up
300101	169	88	188	107	1
300102	190	88	209	107	1
300103	211	88	230	107	1
#rocket
320001	114	3	128	9	2

#===========HEALTH_BAR====================#
50001	30	35	50	127	50
50002	55	37	71	45	50
50003	84	35	106	125	50
50004	111	37	127	45	50
##=============ITEMS==========
#POWERUP
60001	87	237	103	253	1
#GUNUP
60002	66	237	82	253	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
##JASON=========================
#idle right
400	10001	100
#idle left
401	11001	100
#walk right
500	10001	30	10002	30	10003	30	10004	30	10005	30	10006	30	10007	30	10008	30	10009	30	10010	30	10011	30	10012	30
#walk left
501	11001	30	11002	30	11003	30	11004	30	11005	30	11006	30	11007	30	11008	30	11009	30	11010	30	11011	30	11012	30
##JUMP
# idle jump up idle right 1
410	10101	100
# idle jump up idle right 2
411	10102	100
# idle jump up idle right 3
412	10103	100
# idle jump up idle right 4
413	10104	100
# idle jump up idle left 1
414	11101	100
# idle jump up idle left 2
415	11102	100
# idle jump up idle left 3
416	11103	100
# idle jump up idle left 4
417	11104	100
# idle jump down idle right 1
420	10201	100
# idle jump down idle right 2
421	10202	100
# idle jump down idle right 3
422	10203	100
# idle jump down idle right 4
423	10204	100
# idle jump down idle left 1
424	11201	100
# idle jump down idle left 2
425	11202	100
# idle jump down idle left 3
426	11203	100
# idle jump down idle left 4
427	11204	100
# idle jump up walking right
510	10101	30	10102	30	10103	30	10104	30
# idle jump up walking left
511	11101	30	11102	30	11103	30	11104	30
# idle jump down walking right
520	10201	30	10202	30	10203	30	10204	30
# idle jump down walking left
521	11201	30	11202	30	11203	30	11204	30
###GUNFLIP
#gun flip right
430	10301	40	10302	40	10303	40	10304	40	10305	40	10306	40	10307	40	10308	40
#gun flip left
431	11301	40	11302	40	11303	40	11304	40	11305	40	11306	40	11307	40	11308	40
##GUN FLIP IDLE
#idle gun flip idle right 1
461	10301	120	10305	999999999
#idle gun flip  idle right 2
462	10302	120	10306	999999999
#idle gun flip idle  right 3
463	10303	120	10307	999999999
#idle gun flip idle  right 4
464	10304	120	10308	999999999
#idle gun flip idle  left 1
465	11301	120	11305	999999999
#idle gun flip idle  left 2
466	11302	120	11306	999999999
#idle gun flip idle  left 3
467	11303	120	11307	999999999
#idle gun flip idle  left 4
468	11304	120	11308	999999999
#get out
470	11400	600	11400	100
#die
599	11998	100	11999	100	11999	100
###============Bullet=====================#
30001	300001	100
30002	300002	100
30003	310001	100	310002	100	310003	100	310004	100
30004	310005	100	310006	100	310007	100	310008	100
30005	300101	100	300102	100 	300103	100
#rocket
30006	320001	100
#small sophia
34001	340001	100
###============HealthBar==================#
#Gun null
800	50001	100
#Gun add
801	50002	100
#Player null
802	50003	100
#Player add
803	50004	100
804	50004	100
#==============Item=======================#
#Power
60001	60001	100
#Power
60002	60002	100
###============SMALL SOPHIA===============#
#idle right
900	12000	100
#walk right
901	12001	200	12002	200	12003	200
#crawl
902	12004	200	12005	200
#die
903	12006	70	12007	70	12008	70	12009	70	12006	70	12007	70	12008	70	12009	70	12006	70	12007	70	12008	70	12009	70	12006	300	12010	300
#jump right
904	12003	100


# id tuan theo define
[ANIMATION_SETS]
# JASON
1	400	401	500	501	410	411	412	413	414	415	416	417	420	421	422	423	424	425	426	427	510	511	520	521	430	431	461	462	463	464	465	466	467	468	599	470
# SMALL SOPHIA
2	900	901	902	903	904
#====Bullet========#
31	30001	30002	30003	30004	30005
#rocket
32	30006
#small sophia bullet
34	34001	30005
#=== HEALTH BAR ===
>>>>>>> 9675a3db35068caebc3c922844b496fd06b52f0e
30	800	801	802	803
#=======ITEM==========#
51	60001
52	60002
[SCENE]
#Stage1
Resource/SceneAndSpec/scene1.txt	1024	275
#Stage2
Resource/SceneAndSpec/scene2.txt	527	1315
#Stage3
Resource/SceneAndSpec/scene3.txt	545	277
#Stage4
Resource/SceneAndSpec/scene4.txt	520	1023
#Stage5
Resource/SceneAndSpec/scene5.txt	516	1800
#Stage6
Resource/SceneAndSpec/scene6.txt	510	275
#Stage7
Resource/SceneAndSpec/scene7.txt	512	543
Stage8
Resource/SceneAndSpec/scene8.txt	518	275
#Stage9
Resource/SceneAndSpec/scene9.txt	280	275
#Stage10
Resource/SceneAndSpec/scene10.txt	2048	2048
