# Id	FilePath			R	G	B
[TEXTURES]
0	Resources/bbox.png	255	255	0
1	Resources/item.png	255	255	0
10	Resources/sophia_die.png	176	0	248
20	Resources/sophia.png	255	0	255
30	Resources/jssophia.png	255	0	255
40	Resources/Enemy/enemies.png	255	0	255
11	Resources/Scene/area_1.jpg	255	0	255
50	Resources/HealthBar.png	255	255	255
11303	49	247	74	280	30
11304	14	247	39	280	30
11305	109	283	135	317	30
11306	79	283	105	317	30
11307	48	283	74	317	30
11308	13	283	39	317	30
#get out
11400	105	334	131	360	30
# die 
11998	100	78	143	125	10
11999	12	85	76	132	10
##==============BULLET===================
#small bullet jason right, top
20001	240	68	248	74	1
20002	241	89	247	97	1
#big bullet jason right, top
20003	73	200	95	206	1
20004	218	48	224	62	1
#bang
20005	176	94	183	102	1
20006	192	91	208	104	1
20007	213	90	229	106	1
#electric bullet jason 
20008	3	111	18	127	1
20009	3	132	18	148	1
20010	7	153	14	168	1
20011	6	174	17	190	1
#small sophia bullet
20020	135	180	139	184	1
#big sophia bullet
#đen right
20030	299	15	309	23	60
#màu mè right
20031	251	29	261	37	60
20032	285	29	295	37	60
20033	303	29	313	37	60
20034	319	29	329	37	60
20035	335	29	345	37	60
20036	351	29	361	37	60
#đen top
20040	287	137	295	147	60
#màu mè top
20041	285	155	293	165	60
20042	285	121	293	131	60
20043	285	103	293	113	60
20044	285	87	293	97	60
20045	285	71	293	81	60
20046	285	55	293	65	60
##=========HEATH_BAR========
50001	30	35	50	127	50
50002	55	37	71	45	50
50003	84	35	106	125	50
50004	111	37	127	45	50
##=============ITEMS==========
#POWERUP
60001	87	237	103	253	1
#GUNUP
60002	66	237	82	253	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
##BIG SOPHIA========================
#idle right
1	1	100
#idle left
2	4	100
#idle top
3	8	100
#idle bot
4	11	100
#walk right
5	1	100	2	100	3	100
#walk left
6	4	100	5	100	6	100
#walk top
7	7	100	8	100	9	100
#walk bot
8	10	100	11	100	12	100
#die
9	1	100	4	100	8	100	11	100	1	100	4	100	8	100	11	100	1	100	4	100	8	100	11	100	13	200	14	200	15	200	16	200
##SMALL SOPHIA==================
#idle right
10	20	100
#walk right
11	21	100	22	100	23	100
#idle crawl right
12	24	100
#crawl right
13	24	200	25	200
#die
14	26	70	27	70	28	70	29	70	26	70	27	70	28	70	29	70	26	70	27	70	28	70	29	70	26	300	30	300
#jump right
15	21	100
##JASON=========================
#idle right
400	10001	100
#idle left
401	11001	100
#walk right 
500	10001	30	10002	30	10003	30	10004	30	10005	30	10006	30	10007	30	10008	30	10009	30	10010	30	10011	30	10012	30
#walk left 
501	11001	30	11002	30	11003	30	11004	30	11005	30	11006	30	11007	30	11008	30	11009	30	11010	30	11011	30	11012	30
##JUMP
# idle jump up idle right
410	10101	100
# idle jump up idle left
411	11101	100
# idle jump down idle right
420	10201	100
# idle jump down idle left
421	11201	100
# idle jump up walking right
412	10101	30	10102	30	10103	30	10104	30
# idle jump up walking left
413	11101	30	11102	30	11103	30	11104	30
# idle jump down walking right
422	10201	30	10202	30	10203	30	10204	30
# idle jump down walking left
423	11201	30	11202	30	11203	30	11204	30
###GUNFLIP 
#gun flip right
430	10301	40	10302	40	10303	40	10304	40	10305	40	10306	40	10307	40	10308	40
#gun flip left
431	11301	40	11302	40	11303	40	11304	40	11305	40	11306	40	11307	40	11308	40
##GUN FLIP IDLE
#idle gun flip idle right 1
461	10301	120	10305	999999999
#idle gun flip  idle right 2
462	10302	120	10306	999999999
#idle gun flip idle  right 3
463	10303	120	10307	999999999
#idle gun flip idle  right 4
464	10304	120	10308	999999999
#idle gun flip idle  left 1
465	11301	120	11305	999999999
#idle gun flip idle  left 2
466	11302	120	11306	999999999
#idle gun flip idle  left 3
467	11303	120	11307	999999999
#idle gun flip idle  left 4
468	11304	120	11308	999999999
#get out 
470	11400	600	11400	100
#die
599	11998	100	11999	100	11999	100
#==============BULLET=================
#small bullet jason right
700	20001	100
#small bullet jason top
701	20002	100
#big bullet jason right
702	20003	100
#big bullet jason top
703	20004	100
#bang
704	20005	50	20006	50	20007	50	20007	50
#electric bullet jason
705	20008	100	20009	100	20010	100	20011	100
#small sophia bullet
710	20020	100
#big sophia bullet right đen
720	20030	100
#big sophia bullet right màu
721	20031	100	20032	100	20033	100	20034	100	20035	100	20036	100
#big sophia bullet top đen
722	20040	100
#big sophia bullet top màu
723	20041	100	20042	100	20043	100	20044	100	20045	100	20046	100
###============HealthBar==================
#Gun null
801	50001	100
#Gun add
802	50002	100
#Player null
803	50003	100
#Player add
804	50004	100

###Item
#Power
901	60001	100
#Power
902	60002	100

# id	ani1	ani2	ani3
# id tuan theo define
[ANIMATION_SETS]
# SOPHIA JASON
1	400	401	500	501	410	411	420	421	412	413	422	423	430	431	461	462	463	464	465	466	467	468	599	470
#BIG SOPHIA
2	1	2	3	4	5	6	7	8	9
#SMALL SOPHIA
3	10	11	12	13	14	15
#=== BULLET ======
#small +big bullet
4	700	701	702	703	704	710
5	705
6	720	721	722	723	704
#=== HEALTH BAR ===
11	801	802	803	804
#== ITEM POWER ==
12	901
13	902
[SCENE]
#Stage1
Resources/Scene/scene1.txt	512	120
#Stage2_1
Resources/Scene/scene2_1.txt	525	490
#Stage2_2
Resources/Scene/scene2_2.txt	1050	490
#Stage3_1
Resources/Scene/scene3_1.txt	1575	490
#Stage3_2
Resources/Scene/scene3_2.txt	1575	490
#Stage4
Resources/Scene/scene4.txt	1575	490
#Test
Resources/Scene/scene1.txt	1575	490
Resources/Scene/scene3_1.txt	1575	490


